,,,,,,,,,,
,,,,,,,,,,
,PARQUE INDUSTRIAL,NAVE,AREA Pies2,AREA Mts2,ALTURA LIBRE Pies2,ALTURA LIBRE mts2,RAMPAS,SUBDIVISIBLE,OCUPADA/DISPONIBLE,CIUDAD
,ARISONORA IP,AS_01,"48,384.00","4,494.87",,,,,NAVE INVENTARIO 45K,SLRC
,EL VIGIA,V1_2-4,"41,831.90","3,886.18",15.05,4.59,4,SUBDIVISIBLE,DISPONIBLE,MEXICALI
,EL VIGIA,V1_5-6,"20,867.08","1,938.55",30.00,9.14,2,NO,SB DISTRIBUIDORA,MEXICALI
,EL VIGIA,V1_13-16,"39,801.23","3,697.53",,,2 - llega al patio de maniobras no hay anden,NO,EN REMODELACION,MEXICALI
,EL VIGIA,V1_17A,"4,550.00",422.70,16.00,4.88,0,,"MEXICALI PLATING, S DE RL DE CV",MEXICALI
,EL VIGIA,V1_17B,"5,652.82",525.15,16.00,4.88,1,,CS MANUFACTURING,MEXICALI
,EL VIGIA,V1_18-19,"21,738.95","2,019.55",16.00,4.88,2,,DISTRIBUCIONES REMBAO,MEXICALI
,EL VIGIA,V1_20-21,"27,233.06","2,529.95",,,3,,SM SOURCING (FEVISA),MEXICALI
,EL VIGIA,V1-22B,"5,817.89",540.48,,,0,,SM SOURCING (FEVISA),MEXICALI
,EL VIGIA,V1_22A,"13,114.00","1,218.29",,,0,,"MANUFACTURING SOLUTIONS DE MEXICO, SA DE CV",MEXICALI
,EL VIGIA,V1_23,"16,300.00","1,514.27",,,0,,FASTENAL MEXICO S DE RL DE CV,MEXICALI
,EL VIGIA,V1_24,"17,480.15","1,623.91",16.00,4.88,1,,AVANGARD MEXICO,MEXICALI
,EL VIGIA,V1_25,"13,347.95","1,240.02",,,0,,EN REMODELACION,MEXICALI
,EL VIGIA,V1_26-33,"84,550.38","7,854.73",16.00,4.88,8,SUBDIVISIBLE,EN REMODELACION,MEXICALI
,EL VIGIA,V1_34-37,"52,248.00","4,853.84",,,4,,"EMERMEX, S.A. DE C.V.",MEXICALI
,EL VIGIA,V1_39-43,"80,869.00","7,512.73",,,0,,"EMERMEX, S.A. DE C.V.",MEXICALI
,EL VIGIA,V1_44-53 ,"118,873.00","11,043.30",,,8,,"EMERMEX, S.A. DE C.V.",MEXICALI
,EL VIGIA,V1_ 67-73,"75,410.00","7,005.59",,,8,,"EMERMEX, S.A. DE C.V.",MEXICALI
,EL VIGIA,V1_ 55-57,"62,614.14","5,816.85",22.00,6.71,4,,GLOBAL LOGISTICS G3PL,MEXICALI
,EL VIGIA,V1_55-56 oficinas,"4,958.86",460.68,,,0,,DESOCUPADO OFICINAS,MEXICALI
,EL VIGIA,V1_58-62,"81,544.00","7,575.44",,,3,,"GARRET MOTION MEXICO, S.A. DE C.V.",MEXICALI
,EL VIGIA II,V2_01,"65,388.50","6,074.59",25.60,7.80,7 - una es a nivel de piso,,LG ELECTRONICS REYNOSA SA DE CV,MEXICALI
,EL VIGIA II,V2_02," 	54,485.84 ","5,061.73",27,8.23,5 - una es ascendente,,BAXTER,MEXICALI
,IIBC,Rancho Tanamá,"35,149.53","3,265.39",20.00,6.10,2,NO,DISPONIBLE,TECATE
,NCIYC,NCIC,"23,842.00","2,214.92",,,,,"CARLEY DE MEXICO, SA DE CV",MEXICALI
,NCIYC,,"14,234.00","1,322.34",,,,,RUGIDO CAMISETAS,MEXICALI
,NCIYC,,"31,577.00","2,933.50",,,,,"GAMELOFT, SA DE CV",MEXICALI
,NCIYC,,"5,842.00",542.72,,,,,APEX IMPLANT COMPONENTS,MEXICALI
,NCIYC,,"125,000.00","11,612.50",,,,,"CREATION TECHNOLOGIES MEXICALI, SA DE CV (VALASSIS)",MEXICALI
,PINSA,N1_2,"49,700.00","4,617.13",,,3,,"AQUALUNG DE MEXICO, S.A. DE C.V.",MEXICALI
,PINSA,N1_ 3-4,"148,536.68","13,799.06",,,1,,"SDS DE MEXICO, S.A. DE C.V.",MEXICALI
,PINSA,N1_14,"69,270.71","6,435.25",,,1,,QLTL Mexico SA DE CV,MEXICALI
,PINSA,N1_15,"40,000.00","3,716.00",,,2,,QLTL Mexico SA DE CV,MEXICALI
,PINSA,N1_8,"42,789.00","3,975.10",24.00,7.31,4,,FARMACOS NACIONALES,MEXICALI
,PINSA,N1_21N,"11,611.91","1,078.75",,,0,,"INTUITIVE SURGICAL, S. DE R.L. DE C.V.",MEXICALI
,PINSA,N1_21S,"33,417.79","3,104.51",,,2,,"INTUITIVE SURGICAL, S. DE R.L. DE C.V.",MEXICALI
,PINSA,N1_19,"48,356.00","4,492.27",,,3,,"INTUITIVE SURGICAL, S. DE R.L. DE C.V.",MEXICALI
,PINSA,N1_20,"32,712.00","3,038.94",,,3,,"INTUITIVE SURGICAL, S. DE R.L. DE C.V.",MEXICALI
,PINSA,N1_16,"32,712.00","3,038.94",28.00,8.53,4,,CMI DE MEXICO INTERNATIONAL S DE RL DE CV,MEXICALI
,PINSA,NI_1,"2,583.26",239.98,,,0,,EN REMODELACION,MEXICALI
,PINSA,N1_17-19,"90,236.73","8,382.99",,,11,,"DHL METROPOLITAN LOGISTICS SC MEXICO, SA DE CV",MEXICALI
,PINSA II,N2_01,"131,477.05","12,214.22",,,16 - Son 15 a nivel de piso y 1 ascendente,,"DHL METROPOLITAN LOGISTICS SC MEXICO, SA DE CV",MEXICALI
,PINSA II,N2_02,"206,743.00","19,206.42",,,9 - Son 8 a nivel de piso + 1 asendente,,DIRECT PACK DE MEXICO S DE RL DE CV,MEXICALI
,PINSA II,N2_03,"96,294.00","8,945.71",,,2- 1 es ascendente,,"SDS DE MEXICO, S.A. DE C.V.",MEXICALI
,PINSA II,N2_04,"162,793.91","15,123.55",,,20 - 18 son a nivel de piso y 2 ascendentes,,"RHEEM MEXICALI, S DE RL DE CV",MEXICALI
,PINSA II,N2_05,"263,025.00","24,435.02",,,5 - 2 son a nivel de piso,,JONATHAN MFG,MEXICALI
,PINSA II,N2_06,"60,842.00","5,652.22",,,6 - 1 es ascedente,,"INTERIORES AEREOS, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_09,"18,929.56","1,758.56",,,0,,EN REMODELACION,MEXICALI
,PROMOTORA,P_01,"58,192.00","5,406.04",,,1,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_02,"23,168.49","2,152.35",,,1,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_03,"4,638.69",430.93,,,0,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_04,"3,974.57",369.24,,,0,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_05,"28,531.22","2,650.55",,,0,,"CD ELECTRONICA DE MEXICO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_06,"41,010.45","3,809.87",,,,,"FABRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_07,"39,071.87","3,629.78",,,,,"FABRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V.",MEXICALI
,PROMOTORA,P_08,"105,378.58","9,789.67",,,,,"FABRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V.",MEXICALI
,PROPIEDADES NELSON,PN_01,"81,075.00","7,531.87",,,,,LATE COERE /TIJUANA,TIJUANA
,PROPIEDADES NELSON,PN_02,"61,999.00","5,759.71",,,,,SYNERGIC PRODUCTION TCI /HERMOSILLO,HERMOSILLO
,DESARROLLO INDUSTRIAL COLORADO,DC_01,"550,000.00","51,095.00",,,,,"INTERIORES AEREOS, S.A. DE C.V.",MEXICALI
,PROPIEDADES NELSON,PN_03,"52,646.00","4,890.81",,,,,DISPONIBLE SLP,SLP
,TECNOLOGICO,T_01,"200,000.00","18,580.00",,,,,"INTERIORES AEREOS, S.A. DE C.V.",MEXICALI
