Country,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
Mexico,467,54,15266,6737,3.06%,0.8%,5.28,7.22
United States,34,16,8223,704,0.41%,2.27%,6.4,18.49
Canada,3,0,306,5,0.98%,0%,7.55,8.2
Colombia,3,1,120,14,2.5%,7.14%,7.33,2.64
India,3,0,114,13,2.63%,0%,7.71,5.15
Argentina,2,1,95,25,2.11%,4%,6.12,3.08
Japan,2,0,26,3,7.69%,0%,7.38,5.33
Brazil,1,0,134,5,0.75%,0%,8.2,3.6
Peru,1,0,84,17,1.19%,0%,6.63,2.71
Venezuela,1,0,52,14,1.92%,0%,5.23,2.93
Ecuador,1,0,41,2,2.44%,0%,7.44,1
Philippines,1,0,36,1,2.78%,0%,12.5,14
Dominican Republic,1,0,30,1,3.33%,0%,4.87,2
Panama,1,0,23,20,4.35%,0%,4.22,2.2
Nicaragua,1,0,11,2,9.09%,0%,2.18,1
Ireland,1,0,7,0,14.29%,0%,5.14,0
Bulgaria,1,0,7,0,14.29%,0%,10.71,0
Spain,0,0,253,11,0%,0%,7.34,2.27
France,0,0,110,13,0%,0%,4.91,8.85
Germany,0,0,86,0,0%,0%,6.05,0
United Kingdom,0,0,83,6,0%,0%,7.63,2.83
Chile,0,1,81,9,0%,11.11%,6.3,3.78
Italy,0,0,54,2,0%,0%,6.69,1
Vietnam,0,0,49,2,0%,0%,8.18,6.5
Guatemala,0,0,48,10,0%,0%,4.5,2.4
China,0,0,36,0,0%,0%,5.53,0
Indonesia,0,0,35,1,0%,0%,8.34,4
Pakistan,0,0,29,0,0%,0%,8.1,0
Puerto Rico,0,0,26,8,0%,0%,4.92,2.88
Costa Rica,0,0,25,4,0%,0%,7.36,4.25
Netherlands,0,0,23,1,0%,0%,6.04,1
Poland,0,0,22,1,0%,0%,4.73,1
Russia,0,0,22,0,0%,0%,7.23,0
El Salvador,0,0,20,5,0%,0%,6.15,1.6
South Korea,0,0,20,5,0%,0%,6.7,1
Taiwan,0,0,19,3,0%,0%,3.11,1.33
United Arab Emirates,0,0,19,0,0%,0%,4.53,0
Turkey,0,0,18,0,0%,0%,10.94,0
Bangladesh,0,0,18,0,0%,0%,14.89,0
Australia,0,0,17,2,0%,0%,7.47,11.5
Malaysia,0,0,17,4,0%,0%,14.47,7.25
Switzerland,0,0,16,0,0%,0%,4.44,0
Hong Kong,0,0,15,0,0%,0%,7.07,0
Nigeria,0,0,14,0,0%,0%,7.43,0
Austria,0,0,13,2,0%,0%,3.85,1.5
Bolivia,0,0,13,11,0%,0%,7.92,1.27
Paraguay,0,0,12,0,0%,0%,5.83,0
Thailand,0,0,12,0,0%,0%,9,0
Belgium,0,0,11,0,0%,0%,10.18,0
Singapore,0,0,10,0,0%,0%,5.8,0
Ukraine,0,0,10,1,0%,0%,6.4,1
Uruguay,0,0,10,3,0%,0%,12.2,1.33
New Zealand,0,0,10,1,0%,0%,24.8,14
Romania,0,0,9,1,0%,0%,5.11,12
South Africa,0,0,9,0,0%,0%,5.78,0
Sweden,0,0,9,0,0%,0%,6.78,0
Honduras,0,0,9,4,0%,0%,7.56,4.75
Israel,0,0,9,0,0%,0%,8.44,0
Iraq,0,0,9,0,0%,0%,12.78,0
Saudi Arabia,0,0,8,0,0%,0%,6.25,0
Tunisia,0,0,8,0,0%,0%,6.62,0
Egypt,0,0,8,0,0%,0%,15.62,0
British Virgin Islands,0,0,7,0,0%,0%,2.71,0
Portugal,0,0,7,2,0%,0%,3.71,6
Iran,0,0,7,0,0%,0%,7.57,0
Algeria,0,0,7,1,0%,0%,7.86,1
Norway,0,0,6,0,0%,0%,6,0
Slovakia,0,0,5,0,0%,0%,4.6,0
Serbia,0,0,5,0,0%,0%,4.8,0
Greece,0,0,5,0,0%,0%,5.4,0
Nepal,0,0,4,0,0%,0%,4.75,0
Belarus,0,0,4,0,0%,0%,6.25,0
Morocco,0,0,4,1,0%,0%,6.5,1
Qatar,0,0,4,0,0%,0%,6.75,0
Croatia,0,0,4,0,0%,0%,9,0
Cuba,0,0,4,1,0%,0%,9.25,1
Azerbaijan,0,0,4,0,0%,0%,23.75,0
Czechia,0,0,3,1,0%,0%,2,1
Cyprus,0,0,3,0,0%,0%,3.67,0
Palestine,0,0,3,0,0%,0%,5.67,0
Jamaica,0,0,3,0,0%,0%,7.33,0
Moldova,0,0,3,0,0%,0%,7.67,0
Kenya,0,0,2,0,0%,0%,1,0
Estonia,0,0,2,0,0%,0%,2.5,0
Andorra,0,0,2,0,0%,0%,3,0
Macedonia,0,0,2,0,0%,0%,3,0
Hungary,0,0,2,1,0%,0%,4,8
Denmark,0,0,2,0,0%,0%,4.5,0
Kuwait,0,0,2,0,0%,0%,5,0
Réunion,0,0,2,0,0%,0%,6,0
Syria,0,0,2,0,0%,0%,6,0
Bahamas,0,0,2,0,0%,0%,6.5,0
Kazakhstan,0,0,2,0,0%,0%,6.5,0
Côte d’Ivoire,0,0,2,0,0%,0%,7,0
Finland,0,0,2,1,0%,0%,7,1
Libya,0,0,2,0,0%,0%,7,0
Albania,0,0,2,0,0%,0%,7.5,0
Lithuania,0,0,2,0,0%,0%,7.5,0
Trinidad & Tobago,0,0,2,0,0%,0%,8,0
Cameroon,0,0,2,0,0%,0%,9,0
Cambodia,0,0,2,0,0%,0%,12,0
Kyrgyzstan,0,0,2,0,0%,0%,12.5,0
Benin,0,0,2,0,0%,0%,18,0
Gabon,0,0,2,1,0%,0%,29,1
Georgia,0,0,1,0,0%,0%,1,0
Malta,0,0,1,0,0%,0%,1,0
Angola,0,0,1,0,0%,0%,2,0
Jersey,0,0,1,0,0%,0%,2,0
Myanmar (Burma),0,0,1,0,0%,0%,2,0
Mongolia,0,0,1,1,0%,0%,2,1
Mauritius,0,0,1,0,0%,0%,2,0
Curaçao,0,0,1,0,0%,0%,3,0
Jordan,0,0,1,0,0%,0%,3,0
Maldives,0,0,1,0,0%,0%,3,0
Aruba,0,0,1,0,0%,0%,5,0
Grenada,0,0,1,0,0%,0%,5,0
Barbados,0,0,1,0,0%,0%,6,0
Lebanon,0,0,1,0,0%,0%,7,0
Macau,0,0,1,1,0%,0%,8,8
Uzbekistan,0,0,1,0,0%,0%,8,0
Tajikistan,0,0,1,0,0%,0%,9,0
Slovenia,0,0,1,0,0%,0%,10,0
Sint Maarten,0,0,1,0,0%,0%,10,0
Uganda,0,0,1,0,0%,0%,10,0
Zambia,0,0,1,0,0%,0%,10,0
Oman,0,0,1,0,0%,0%,16,0