Top pages,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
https://www.nelson.com.mx/es,147,0,4233,0,3.47%,0%,5.34,0
https://www.nelson.com.mx/,91,0,2486,0,3.66%,0%,5.81,0
https://www.nelson.com.mx/blog/immex-anexo-24-y-30-guia-de-cumplimiento-para-no-perder-tu-certificacion,44,0,5642,8,0.78%,0%,6,3.5
https://www.nelson.com.mx/es/parques-industriales-mexicali,33,0,3143,0,1.05%,0%,5.99,0
http://nelson.com.mx/,19,38,1253,1047,1.52%,3.63%,4.09,4.49
http://www.nelson.com.mx/web/,18,19,3297,3399,0.55%,0.56%,4.68,4.21
https://www.nelson.com.mx/es/constructora/baumex,18,0,380,0,4.74%,0%,6.23,0
https://www.nelson.com.mx/es/nelson/nuestra-historia,14,0,481,0,2.91%,0%,6.12,0
http://www.nelson.com.mx/,11,9,2777,2450,0.4%,0.37%,3.54,4.12
https://www.nelson.com.mx/industrial-parks/nelson-ii,11,0,1111,0,0.99%,0%,4.77,0
https://www.nelson.com.mx/industrial-parks/vigia-ii,11,0,588,0,1.87%,0%,5.86,0
https://www.nelson.com.mx/industrial-parks/vigia-i,10,0,581,0,1.72%,0%,5.73,0
http://www.nelson.com.mx/web,6,1,2079,2021,0.29%,0.05%,4.62,19.97
https://www.nelson.com.mx/es/constructora/portafolio,6,0,418,0,1.44%,0%,7.88,0
https://www.nelson.com.mx/about/our-story,6,0,392,0,1.53%,0%,5.95,0
https://www.nelson.com.mx/about/difference,4,0,746,0,0.54%,0%,7.75,0
https://www.nelson.com.mx/industrial-parks,4,0,504,0,0.79%,0%,7.17,0
https://www.nelson.com.mx/construction/baumex,4,0,486,0,0.82%,0%,7.59,0
https://www.nelson.com.mx/es/nelson/diferencia-nelson,4,0,281,0,1.42%,0%,7.51,0
https://www.nelson.com.mx/contact,4,0,275,0,1.45%,0%,7.12,0
https://www.nelson.com.mx/es/blog/como-evaluar-un-parque-industrial-en-mexico-la-checklist-que-usan-los-expertos,4,0,88,0,4.55%,0%,5.53,0
https://www.nelson.com.mx/inventory/land,4,0,88,0,4.55%,0%,10.05,0
https://www.nelson.com.mx/constructora/baumex,4,0,17,1,23.53%,0%,6.06,6
https://www.nelson.com.mx/es/blog/guia-completa-del-programa-immex-2025-lo-que-todo-director-de-operaciones-debe-saber,3,0,395,0,0.76%,0%,7.31,0
https://www.nelson.com.mx/es/noticias,3,0,306,0,0.98%,0%,8.96,0
https://www.nelson.com.mx/industrial-parks/nelson-i,3,0,276,0,1.09%,0%,7.5,0
https://www.nelson.com.mx/es/parques-industriales-mexicali/nelson-ii,3,0,163,0,1.84%,0%,2.69,0
https://www.nelson.com.mx/es/blog/que-hace-realmente-clase-a-a-una-nave-industrial-la-guia-tecnica-definitiva,3,0,99,0,3.03%,0%,6.35,0
https://www.nelson.com.mx/construction/leed,2,0,195,0,1.03%,0%,9.34,0
https://www.nelson.com.mx/es/blog/mexicali-vs-tijuana-cual-es-la-mejor-ciudad-para-instalar-tu-operacion-en-mexico,2,0,141,0,1.42%,0%,6.29,0
https://www.nelson.com.mx/es/noticias/gulfstream-invierte-usd-370-millones-nave-industrial-parque-nelson-ii-mexicali,2,0,137,0,1.46%,0%,6.46,0
https://www.nelson.com.mx/es/contacto,2,0,131,0,1.53%,0%,7.1,0
https://www.nelson.com.mx/blog/tendencias-de-renta-industrial-en-mexicali-y-baja-california-panorama-20252026,2,0,111,0,1.8%,0%,6.14,0
https://www.nelson.com.mx/blog/de-terreno-baldio-a-parque-industrial-el-proceso-de-desarrollo-desde-cero-en-mexicali,2,0,73,0,2.74%,0%,6.71,0
https://www.nelson.com.mx/es/noticias/demanda-naves-clase-a-desarrollo-industrial-mexicali-baja-california,2,0,28,0,7.14%,0%,8.46,0
https://www.nelson.com.mx/es/terminos,2,0,25,0,8%,0%,6.76,0
https://www.nelson.com.mx/noticias/demanda-naves-clase-a-desarrollo-industrial-mexicali-baja-california,2,0,23,0,8.7%,0%,9.48,0
https://www.nelson.com.mx/es/noticias/mexicali-consolida-mercado-industrial-rentas-2024,2,0,22,0,9.09%,0%,7.45,0
https://www.nelson.com.mx/es/experiencia/normas-certificaciones-estandares,2,0,20,0,10%,0%,6.8,0
https://www.nelson.com.mx/about/track-record,1,0,246,0,0.41%,0%,8.35,0
https://www.nelson.com.mx/experience/success-stories,1,0,243,0,0.41%,0%,7.65,0
https://www.nelson.com.mx/privacy-policy,1,0,236,0,0.42%,0%,7.04,0
https://www.nelson.com.mx/construction/turnkey,1,0,203,0,0.49%,0%,8.6,0
https://www.nelson.com.mx/es/blog/esfr-vs-sprinklers-convencionales-lo-que-nadie-te-dice-sobre-fire-protection,1,0,159,0,0.63%,0%,8.28,0
https://www.nelson.com.mx/es/nelson/trayectoria,1,0,126,0,0.79%,0%,7.03,0
https://www.nelson.com.mx/construction/portfolio,1,0,108,0,0.93%,0%,6.19,0
https://www.nelson.com.mx/blog/last-mile-delivery-como-impacta-en-la-ubicacion-y-el-diseno-de-centros-de-distribucion,1,0,96,0,1.04%,0%,7.56,0
https://www.nelson.com.mx/noticias/nearshoring-empleos-industriales-baja-california-cifras-perspectivas,1,0,92,0,1.09%,0%,7.7,0
https://www.nelson.com.mx/blog/usuario-calificado-cfe-como-las-grandes-empresas-reducen-su-factura-electrica-en-mexico,1,0,85,0,1.18%,0%,6.82,0
https://www.nelson.com.mx/es/parques-industriales-mexicali/nelson-i,1,0,76,0,1.32%,0%,3.84,0
https://www.nelson.com.mx/es/blog/cuanto-tiempo-tarda-en-construirse-una-nave-industrial-y-como-planificar-tu-cronograma,1,0,66,0,1.52%,0%,6.27,0
https://www.nelson.com.mx/es/blog,1,0,61,0,1.64%,0%,14.05,0
https://www.nelson.com.mx/es/parques-industriales-mexicali/vigia-i,1,0,60,0,1.67%,0%,3.57,0
https://www.nelson.com.mx/es/blog/pisos-industriales-ff100fl50-el-estandar-que-permite-automatizacion-total,1,0,60,0,1.67%,0%,5.8,0
https://www.nelson.com.mx/es/blog/leed-en-parques-industriales-el-roi-que-tu-cfo-necesita-ver,1,0,54,0,1.85%,0%,5.06,0
https://www.nelson.com.mx/es/parques-industriales-mexicali/vigia-ii,1,0,46,0,2.17%,0%,4.5,0
https://www.nelson.com.mx/es/noticias/certificacion-leed-parques-industriales-estandar-multinacionales-mexico,1,0,43,0,2.33%,0%,4.63,0
https://www.nelson.com.mx/noticias/empresas-corea-taiwan-japon-eligen-mexico-sobre-otros-destinos,1,0,43,0,2.33%,0%,5.19,0
https://www.nelson.com.mx/blog/que-hace-realmente-clase-a-a-una-nave-industrial-la-guia-tecnica-definitiva,1,0,42,0,2.38%,0%,5.55,0
https://www.nelson.com.mx/es/aviso-de-privacidad,1,0,34,0,2.94%,0%,5.91,0
https://www.nelson.com.mx/construction/leed/indoor-environmental-quality,1,0,26,0,3.85%,0%,6.38,0
https://www.nelson.com.mx/blog/docas-de-carga-tipos-dimensiones-y-como-impactan-la-eficiencia-logistica,1,0,18,0,5.56%,0%,3.61,0
https://www.nelson.com.mx/noticias/certificacion-leed-parques-industriales-estandar-multinacionales-mexico,1,0,8,0,12.5%,0%,2.62,0
https://www.nelson.com.mx/about/leadership,0,0,329,0,0%,0%,8.86,0
https://www.nelson.com.mx/construction/build-to-suit,0,0,300,0,0%,0%,13.6,0
https://www.nelson.com.mx/resources,0,0,204,0,0%,0%,10.99,0
https://www.nelson.com.mx/construction/engineering-design,0,0,137,0,0%,0%,12.31,0
https://www.nelson.com.mx/terms,0,0,127,0,0%,0%,9.46,0
https://www.nelson.com.mx/blog/paneles-solares-en-techos-de-naves-industriales-retorno-de-inversion-y-casos-reales-en-mexico,0,0,116,1,0%,0%,5.52,2
https://www.nelson.com.mx/es/blog/usuario-calificado-cfe-como-las-grandes-empresas-reducen-su-factura-electrica-en-mexico,0,0,95,0,0%,0%,6.71,0
https://www.nelson.com.mx/es/blog/tilt-up-vs-estructura-metalica-cual-es-la-mejor-opcion-para-tu-nave-industrial,0,0,94,0,0%,0%,6.52,0
https://www.nelson.com.mx/es/blog/cold-storage-el-mercado-de-almacenamiento-en-frio-y-sus-especificaciones-de-construccion,0,0,93,0,0%,0%,9.16,0
https://www.nelson.com.mx/es/constructora/leed/energia-atmosfera,0,0,87,0,0%,0%,4.7,0
https://www.nelson.com.mx/inventory/available-buildings,0,0,86,0,0%,0%,8.77,0
https://www.nelson.com.mx/experience/standards-certifications,0,0,82,0,0%,0%,7.79,0
https://www.nelson.com.mx/es/blog/diferencias-entre-una-nave-de-distribucion-de-manufactura-y-de-fulfillment-cual-necesitas,0,0,76,0,0%,0%,6.33,0
https://www.nelson.com.mx/es/inventario/naves-disponibles,0,0,75,0,0%,0%,9.89,0
https://www.nelson.com.mx/es/blog/paneles-solares-en-techos-de-naves-industriales-retorno-de-inversion-y-casos-reales-en-mexico,0,0,66,0,0%,0%,9.03,0
https://www.nelson.com.mx/construction/specialized-projects,0,0,66,0,0%,0%,11.5,0
https://www.nelson.com.mx/es/constructora/build-to-suit,0,0,62,0,0%,0%,6.29,0
https://www.nelson.com.mx/es/noticias/empresas-corea-taiwan-japon-eligen-mexico-sobre-otros-destinos,0,0,62,0,0%,0%,7.34,0
https://www.nelson.com.mx/experience/operational-excellence,0,0,57,0,0%,0%,9.44,0
https://www.nelson.com.mx/blog/mexicali-vs-tijuana-cual-es-la-mejor-ciudad-para-instalar-tu-operacion-en-mexico,0,0,53,0,0%,0%,5.74,0
https://www.nelson.com.mx/es/blog/la-region-calibaja-el-corredor-industrial-de-250-mil-millones-que-redefine-la-manufactura-global,0,0,53,0,0%,0%,7.57,0
http://www.nelson.com.mx/web/wp-content/uploads/2019/07/Specs-Building-Nelson-II-7Sept18.pdf,0,6,49,65,0%,9.23%,14.16,3.86
https://www.nelson.com.mx/es/constructora/llave-en-mano,0,0,48,0,0%,0%,12.62,0
https://www.nelson.com.mx/cookie-policy,0,0,46,0,0%,0%,12.61,0
https://www.nelson.com.mx/es/blog/que-significa-realmente-un-contrato-triple-net-en-mexico-y-como-negociarlo,0,0,45,0,0%,0%,6.2,0
https://www.nelson.com.mx/blog/los-costos-ocultos-del-desarrollo-industrial-en-mexico-que-tu-consultor-no-te-menciona,0,0,45,0,0%,0%,7.09,0
https://www.nelson.com.mx/es/blog/sismicidad-en-baja-california-lo-que-todo-ingeniero-industrial-debe-exigir-en-su-nave,0,0,42,0,0%,0%,6.95,0
https://www.nelson.com.mx/es/noticias/mexico-record-inversion-extranjera-directa-2025-sector-industrial,0,0,40,0,0%,0%,13.53,0
https://www.nelson.com.mx/blog/immex-anexo-24-y-30-guia-de-cumplimiento-para-no-perder-tu-certificacion#anexo-30-el-hermano-menor-que-solo-aplica-si-tienes-certificacin-iva,0,0,37,0,0%,0%,4.14,0
https://www.nelson.com.mx/blog/immex-anexo-24-y-30-guia-de-cumplimiento-para-no-perder-tu-certificacion#el-anexo-24-no-es-un-software-es-una-arquitectura-de-datos,0,0,37,0,0%,0%,4.14,0
https://www.nelson.com.mx/construction/international-standards,0,0,35,0,0%,0%,5.57,0
https://www.nelson.com.mx/blog/por-que-las-empresas-fortune-500-eligen-mexicali-para-su-expansion-en-nearshoring,0,0,35,0,0%,0%,14.89,0
https://www.nelson.com.mx/es/blog/last-mile-delivery-como-impacta-en-la-ubicacion-y-el-diseno-de-centros-de-distribucion,0,0,34,0,0%,0%,8,0
https://www.nelson.com.mx/noticias/mexico-record-inversion-extranjera-directa-2025-sector-industrial,0,0,33,0,0%,0%,8.21,0
https://www.nelson.com.mx/blog/cold-storage-el-mercado-de-almacenamiento-en-frio-y-sus-especificaciones-de-construccion,0,0,32,0,0%,0%,8.78,0
https://www.nelson.com.mx/blog/que-significa-realmente-un-contrato-triple-net-en-mexico-y-como-negociarlo,0,0,28,0,0%,0%,5.82,0
https://www.nelson.com.mx/es/constructora/leed/sistemas-operativos,0,0,26,0,0%,0%,5.85,0
https://www.nelson.com.mx/blog/cuanto-tiempo-tarda-en-construirse-una-nave-industrial-y-como-planificar-tu-cronograma,0,0,23,0,0%,0%,5.35,0
https://www.nelson.com.mx/es/blog/7-tendencias-que-definen-el-futuro-de-los-parques-industriales-en-mexico,0,0,23,0,0%,0%,6.04,0
https://www.nelson.com.mx/construction/leed/certification-process,0,0,23,0,0%,0%,9.35,0
https://www.nelson.com.mx/es/blog/los-sectores-que-mas-demandan-naves-industriales-en-baja-california-automotriz-aeroespacial-y-medtech,0,0,21,0,0%,0%,5.38,0
https://www.nelson.com.mx/es/blog/automatizacion-en-bodegas-cuanto-espacio-adicional-necesita-una-operacion-robotizada,0,0,21,0,0%,0%,8.05,0
https://www.nelson.com.mx/es/blog/por-que-las-empresas-fortune-500-eligen-mexicali-para-su-expansion-en-nearshoring,0,0,20,0,0%,0%,7.5,0
https://www.nelson.com.mx/es/recursos,0,0,19,0,0%,0%,1.58,0
https://www.nelson.com.mx/construction/leed/energy-atmosphere,0,0,19,0,0%,0%,6.05,0
https://www.nelson.com.mx/blog/total-landed-cost-por-que-mexico-gana-a-china-en-el-analisis-real-de-costos,0,0,17,0,0%,0%,4.12,0
https://www.nelson.com.mx/es/nelson/liderazgo,0,0,17,0,0%,0%,4.65,0
https://www.nelson.com.mx/es/constructora/leed/sitios-sostenibles,0,0,17,0,0%,0%,5,0
https://www.nelson.com.mx/es/experiencia/casos-de-exito,0,0,17,0,0%,0%,6.18,0
https://www.nelson.com.mx/es/constructora/leed/proceso-certificacion,0,0,17,0,0%,0%,6.35,0
https://www.nelson.com.mx/es/blog/clear-height-por-que-36-pies-puede-transformar-tu-operacion-de-almacenamiento,0,0,16,0,0%,0%,3.94,0
https://www.nelson.com.mx/construction/leed/extreme-climate,0,0,16,0,0%,0%,6.31,0
https://nelson.com.mx/inventario/naves-disponibles,0,0,13,0,0%,0%,8.92,0
https://www.nelson.com.mx/es/inventario/terrenos,0,0,12,0,0%,0%,7.25,0
https://www.nelson.com.mx/noticias/fortune-500-elige-baja-california-expansion-mexico,0,0,12,0,0%,0%,7.58,0
https://www.nelson.com.mx/blog/immex-anexo-24-y-30-guia-de-cumplimiento-para-no-perder-tu-certificacion#cmo-funciona-una-auditora-de-la-agace,0,0,11,0,0%,0%,4.64,0
https://www.nelson.com.mx/blog/immex-anexo-24-y-30-guia-de-cumplimiento-para-no-perder-tu-certificacion#el-apartado-c-lo-que-cambi-en-2024-y-lo-que-tenas-que-haber-hecho-ya,0,0,11,0,0%,0%,4.64,0
https://www.nelson.com.mx/es/noticias/fortune-500-elige-baja-california-expansion-mexico,0,0,11,0,0%,0%,7.09,0
https://www.nelson.com.mx/blog/tilt-up-vs-estructura-metalica-cual-es-la-mejor-opcion-para-tu-nave-industrial,0,0,11,0,0%,0%,7.18,0
https://www.nelson.com.mx/construction/leed/operating-systems,0,0,10,0,0%,0%,4.1,0
https://www.nelson.com.mx/es/constructora/proyectos-especializados,0,0,10,0,0%,0%,6.8,0
https://www.nelson.com.mx/es/blog/docas-de-carga-tipos-dimensiones-y-como-impactan-la-eficiencia-logistica,0,0,9,0,0%,0%,4.44,0
https://www.nelson.com.mx/noticias/category/negocios,0,0,9,0,0%,0%,7.78,0
https://www.nelson.com.mx/es/constructora/leed/calidad-ambiental,0,0,9,0,0%,0%,8.33,0
https://www.nelson.com.mx/blog/la-region-calibaja-el-corredor-industrial-de-250-mil-millones-que-redefine-la-manufactura-global,0,0,8,0,0%,0%,6.75,0
https://www.nelson.com.mx/es/noticias/category/negocios,0,0,8,0,0%,0%,10,0
https://nelson.com.mx/constructora/leed/sitios-sostenibles,0,0,8,1,0%,0%,11.75,2
https://www.nelson.com.mx/es/blog/la-estrategia-china1-y-por-que-mexicali-es-el-destino-preferido,0,0,7,0,0%,0%,4.14,0
https://www.nelson.com.mx/construction/leed/sustainable-sites,0,0,7,0,0%,0%,6.29,0
https://www.nelson.com.mx/es/blog/naves-industriales-net-zero-como-construir-una-bodega-carbono-neutral-paso-a-paso,0,0,6,0,0%,0%,5.83,0
https://www.nelson.com.mx/blog/los-sectores-que-mas-demandan-naves-industriales-en-baja-california-automotriz-aeroespacial-y-medtech,0,0,6,0,0%,0%,9,0
https://www.nelson.com.mx/parques-industriales-mexicali/nelson-ii,0,0,5,6,0%,0%,2.2,4.17
https://www.nelson.com.mx/es/constructora/leed/materiales-recursos,0,0,5,0,0%,0%,4.8,0
https://www.nelson.com.mx/es/constructora/leed,0,0,5,0,0%,0%,5.4,0
https://www.nelson.com.mx/es/constructora/diseno-e-ingenieria,0,0,5,0,0%,0%,5.8,0
https://www.nelson.com.mx/es/constructora/estandares-internacionales,0,0,5,0,0%,0%,6.4,0
https://www.nelson.com.mx/es/noticias/grupo-nelson-celebra-60-anos-pioneros-industria-maquiladora-mexico,0,0,4,0,0%,0%,3,0
https://www.nelson.com.mx/blog/esfr-vs-sprinklers-convencionales-lo-que-nadie-te-dice-sobre-fire-protection,0,0,4,0,0%,0%,5,0
https://www.nelson.com.mx/noticias/mexicali-consolida-mercado-industrial-rentas-2024,0,0,4,0,0%,0%,6.75,0
https://www.nelson.com.mx/constructora/leed/proceso-certificacion,0,0,4,0,0%,0%,7.25,0
https://www.nelson.com.mx/es/experiencia/excelencia-operativa,0,0,4,0,0%,0%,8.75,0
https://www.nelson.com.mx/blog/la-estrategia-china1-y-por-que-mexicali-es-el-destino-preferido,0,0,4,0,0%,0%,11.75,0
https://www.nelson.com.mx/construction/leed/materials-resources,0,0,3,0,0%,0%,4,0
https://www.nelson.com.mx/es/politica-de-cookies,0,0,2,0,0%,0%,2,0
https://www.nelson.com.mx/es/noticias/nearshoring-empleos-industriales-baja-california-cifras-perspectivas,0,0,2,0,0%,0%,4.5,0
https://www.nelson.com.mx/es/constructora/leed/clima-extremo,0,0,2,0,0%,0%,5.5,0
https://www.nelson.com.mx/constructora/leed,0,0,2,0,0%,0%,6,0
https://www.nelson.com.mx/es/noticias/tarifas-arancelarias-eeuu-impacto-manufactura-inversion-mexico,0,0,2,0,0%,0%,6,0
https://www.nelson.com.mx/noticias/grupo-nelson-celebra-60-anos-pioneros-industria-maquiladora-mexico,0,0,2,0,0%,0%,7,0
https://www.nelson.com.mx/blog/diferencias-entre-una-nave-de-distribucion-de-manufactura-y-de-fulfillment-cual-necesitas,0,0,1,0,0%,0%,1,0
https://www.nelson.com.mx/constructora/diseno-e-ingenieria,0,0,1,0,0%,0%,1,0
https://www.nelson.com.mx/es/blog/los-costos-ocultos-del-desarrollo-industrial-en-mexico-que-tu-consultor-no-te-menciona,0,0,1,0,0%,0%,1,0
https://www.nelson.com.mx/web/wp-content/uploads/2024/06/Specs-Nave-1-Vigia-II.pdf,0,0,0,8,0%,0%,0,2.88
http://www.nelson.com.mx/web/wp-content/uploads/2019/02/Terreno-Lit-On.pdf,0,0,0,1,0%,0%,0,1